Time Stamp, Pressure [Pa], SystemState, Alarm State 
Thu 2020-05-07 02:00:18.250 CEST,9124844,7,0
Thu 2020-05-07 02:00:18.500 CEST,9125029,7,0
Thu 2020-05-07 02:00:18.750 CEST,9126171,7,0
Thu 2020-05-07 02:00:19.0 CEST,9126117,7,0
Thu 2020-05-07 02:00:19.250 CEST,9125185,7,0
Thu 2020-05-07 02:00:19.500 CEST,9124547,7,0
Thu 2020-05-07 02:00:19.750 CEST,9123992,7,0
Thu 2020-05-07 02:00:20.0 CEST,9123957,7,0
Thu 2020-05-07 02:00:20.250 CEST,9123441,7,0
Thu 2020-05-07 02:00:20.500 CEST,9123723,7,0
Thu 2020-05-07 02:00:20.750 CEST,9124038,7,0
Thu 2020-05-07 02:00:21.0 CEST,9123874,7,0
Thu 2020-05-07 02:00:21.250 CEST,9124210,7,0
Thu 2020-05-07 02:00:21.500 CEST,9123212,7,0
Thu 2020-05-07 02:00:21.750 CEST,9123342,7,0
Thu 2020-05-07 02:00:22.0 CEST,9124251,7,0
Thu 2020-05-07 02:00:22.250 CEST,9125250,7,0
Thu 2020-05-07 02:00:22.500 CEST,9125810,7,0
Thu 2020-05-07 02:00:22.750 CEST,9125085,7,0
Thu 2020-05-07 02:00:23.0 CEST,9126171,7,0
Thu 2020-05-07 02:00:23.250 CEST,9127364,7,0
Thu 2020-05-07 02:00:23.500 CEST,9127372,7,0
Thu 2020-05-07 02:00:23.750 CEST,9127734,7,0
Thu 2020-05-07 02:00:24.0 CEST,9127831,7,0
Thu 2020-05-07 02:00:24.250 CEST,9128236,7,0
Thu 2020-05-07 02:00:24.500 CEST,9129214,7,0
Thu 2020-05-07 02:00:24.750 CEST,9130142,7,0
Thu 2020-05-07 02:00:25.0 CEST,9129642,7,0
Thu 2020-05-07 02:00:25.250 CEST,9130136,7,0
Thu 2020-05-07 02:00:25.500 CEST,9131188,7,0
Thu 2020-05-07 02:00:25.750 CEST,9131619,7,0
Thu 2020-05-07 02:00:26.0 CEST,9131716,7,0
Thu 2020-05-07 02:00:26.250 CEST,9131752,7,0
Thu 2020-05-07 02:00:26.500 CEST,9131688,7,0
Thu 2020-05-07 02:00:26.750 CEST,9132495,7,0
Thu 2020-05-07 02:00:27.0 CEST,9132363,7,0
Thu 2020-05-07 02:00:27.250 CEST,9132862,7,0
Thu 2020-05-07 02:00:27.500 CEST,9131913,7,0
Thu 2020-05-07 02:00:27.750 CEST,9132946,7,0
Thu 2020-05-07 02:00:28.0 CEST,9134129,7,0
Thu 2020-05-07 02:00:28.250 CEST,9134662,7,0
Thu 2020-05-07 02:00:28.500 CEST,9134373,7,0
Thu 2020-05-07 02:00:28.750 CEST,9133755,7,0
Thu 2020-05-07 02:00:29.0 CEST,9132987,7,0
Thu 2020-05-07 02:00:29.250 CEST,9132901,7,0
Thu 2020-05-07 02:00:29.500 CEST,9133177,7,0
Thu 2020-05-07 02:00:29.750 CEST,9132118,7,0
Thu 2020-05-07 02:00:30.0 CEST,9131394,7,0
Thu 2020-05-07 02:00:30.250 CEST,9131029,7,0
Thu 2020-05-07 02:00:30.500 CEST,9130009,7,0
Thu 2020-05-07 02:00:30.750 CEST,9131136,7,0
Thu 2020-05-07 02:00:31.0 CEST,9130327,7,0
Thu 2020-05-07 02:00:31.250 CEST,9130515,7,0
Thu 2020-05-07 02:00:31.500 CEST,9130367,7,0
Thu 2020-05-07 02:00:31.750 CEST,9130856,7,0
Thu 2020-05-07 02:00:32.0 CEST,9130249,7,0
Thu 2020-05-07 02:00:32.250 CEST,9129878,7,0
Thu 2020-05-07 02:00:32.500 CEST,9129658,7,0
Thu 2020-05-07 02:00:32.750 CEST,9129315,7,0
Thu 2020-05-07 02:00:33.0 CEST,9128237,7,0
Thu 2020-05-07 02:00:33.250 CEST,9127432,7,0
Thu 2020-05-07 02:00:33.500 CEST,9128284,7,0
Thu 2020-05-07 02:00:33.750 CEST,9128067,7,0
Thu 2020-05-07 02:00:34.0 CEST,9128498,7,0
Thu 2020-05-07 02:00:34.250 CEST,9128086,7,0
Thu 2020-05-07 02:00:34.500 CEST,9127475,7,0
Thu 2020-05-07 02:00:34.750 CEST,9126574,7,0
Thu 2020-05-07 02:00:35.0 CEST,9125460,7,0
Thu 2020-05-07 02:00:35.250 CEST,9124664,7,0
Thu 2020-05-07 02:00:35.500 CEST,9123595,7,0
Thu 2020-05-07 02:00:35.750 CEST,9124428,7,0
Thu 2020-05-07 02:00:36.0 CEST,9125366,7,0
